s,r,a,sp
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,-17,1,49
6,-7,0,6
18,-12,0,18
18,-12,2,52
7,-7,0,7
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
37,-22,0,37
37,-22,1,47
37,-22,1,47
6,-7,0,6
18,-12,0,18
18,-12,2,52
6,-7,0,6
18,-12,0,18
18,-12,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-22,1,38
38,-22,1,48
38,73,1,48
4,-7,0,4
4,-7,2,52
2,-7,0,2
2,-7,2,52
9,-7,0,9
19,-12,0,19
19,21,1,29
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-22,1,39
39,-22,1,49
39,-22,1,49
9,-7,0,9
18,-12,0,18
18,-12,2,52
5,-7,0,5
5,13,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-22,1,39
39,-22,1,49
39,-22,1,49
3,-7,0,3
18,-7,1,18
18,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
9,-7,0,9
19,-12,0,19
19,27,1,29
4,-7,0,4
4,-7,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
6,-7,0,6
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
0,-7,0,0
0,-7,2,52
4,-7,0,4
4,-7,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
37,-22,0,37
37,-22,1,47
37,27,1,47
4,-7,0,4
4,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
35,-22,1,35
35,-22,1,45
35,26,1,45
6,-7,0,6
18,-12,0,18
18,-12,2,52
8,-7,0,8
19,-12,1,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
34,-22,1,34
34,-22,2,52
1,-7,0,1
1,-7,2,52
2,-7,0,2
2,-7,2,52
1,-7,0,1
1,-7,2,52
4,-7,0,4
4,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-22,1,38
38,-22,1,48
38,-22,1,48
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
6,-7,0,6
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,41,1,38
3,-7,0,3
19,-7,1,19
19,-7,1,29
28,-12,0,28
28,-12,1,38
38,-17,0,38
38,-17,1,48
38,-17,1,48
6,-7,0,6
18,-12,0,18
18,-12,2,52
6,-7,0,6
18,-12,0,18
18,-12,2,52
6,-7,0,6
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
37,-22,0,37
37,-22,1,47
37,-22,1,47
8,-7,0,8
19,-12,1,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-22,1,39
39,-22,1,49
39,-22,1,49
5,-7,0,5
5,-7,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
2,-7,0,2
2,-7,2,52
7,-7,0,7
17,-12,0,17
17,-12,1,27
27,-17,0,27
27,-17,1,37
35,-22,0,35
35,-22,1,45
35,-22,1,45
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-22,1,38
38,-22,1,48
38,-22,1,48
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
37,-22,0,37
37,-22,1,47
37,-22,1,47
6,-7,0,6
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-22,1,38
38,-22,1,48
38,-22,1,48
7,-7,0,7
18,-12,0,18
18,-12,2,52
6,-7,0,6
18,-12,0,18
18,-12,2,52
0,-7,0,0
0,-7,2,52
6,-7,0,6
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,-17,1,49
6,-7,0,6
18,-12,0,18
18,-12,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
35,-22,1,35
35,-22,1,45
35,68,1,45
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-22,1,38
38,-22,1,48
38,-22,1,48
5,-7,0,5
5,-7,2,52
7,-7,0,7
18,-12,0,18
18,-12,2,52
6,-7,0,6
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-22,1,39
39,-22,1,49
39,-22,1,49
3,-7,0,3
19,-7,1,19
19,-7,1,29
28,-12,0,28
28,-12,1,38
37,-17,0,37
37,-17,1,47
37,53,1,47
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,-17,1,49
4,-7,0,4
4,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-22,1,39
39,-22,1,49
39,-22,1,49
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
5,-7,0,5
5,-7,2,52
7,-7,0,7
19,-12,0,19
19,31,1,29
6,-7,0,6
18,-12,0,18
18,-12,2,52
6,-7,0,6
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-22,1,39
39,-22,1,49
39,-22,1,49
2,-7,0,2
2,-7,2,52
3,-7,0,3
18,-7,1,18
18,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,-17,1,49
9,-7,0,9
18,-12,0,18
18,-12,2,52
8,-7,0,8
19,-12,1,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-17,1,38
38,-17,1,48
38,-17,1,48
4,-7,0,4
4,-7,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
5,-7,0,5
5,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-22,1,38
38,-22,1,48
38,-22,1,48
2,-7,0,2
2,-7,2,52
6,-7,0,6
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
3,-7,0,3
19,-7,1,19
19,-7,1,29
29,-12,0,29
29,-12,1,39
39,-12,1,39
39,-12,1,49
39,-12,1,49
3,-7,0,3
18,-12,1,18
18,-12,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,63,1,49
8,-7,0,8
19,-7,1,19
19,-7,1,29
28,-12,0,28
28,-12,1,38
37,-17,0,37
37,-17,1,47
37,58,1,47
4,-7,0,4
4,-7,2,52
5,-7,0,5
5,-7,2,52
2,-7,0,2
2,-7,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
7,-7,0,7
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,46,1,49
5,-7,0,5
5,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,41,1,39
5,-7,0,5
5,-7,2,52
8,-7,0,8
18,-7,1,18
18,-7,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
6,-7,0,6
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-22,1,38
38,-22,1,48
38,-22,1,48
6,-7,0,6
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
37,-22,0,37
37,-22,1,47
37,73,1,47
9,-7,0,9
18,-12,0,18
18,21,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,-17,1,49
9,-7,0,9
18,-12,0,18
18,-12,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
37,-22,0,37
37,-22,1,47
37,63,1,47
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
6,-7,0,6
18,-12,0,18
18,-12,2,52
9,-7,0,9
17,-12,0,17
17,-12,1,27
27,-17,0,27
27,-17,1,37
37,-22,0,37
